company,folder_name,total_articles,incident_count,raw_incident_risk_score,environmental_articles,environmental_risk,social_articles,social_risk,governance_articles,governance_risk,final_weighted_esg_score,article_age_days_avg,article_age_days_environmental_avg,article_age_days_social_avg,article_age_days_governance_avg,time_weight_avg,time_weight_environmental_avg,time_weight_social_avg,time_weight_governance_avg,severity_avg,severity_environmental_avg,severity_social_avg,severity_governance_avg,environmental_weight,social_weight,governance_weight,environmental_raw_score,social_raw_score,governance_raw_score,raw_score,environmental_weighted_score,social_weighted_score,governance_weighted_score,final_walk_esg_risk,data_coverage_flag,final_walk_esg_score
SIGNATUREGLOBAL INDIA LTD,SIGNATUREGLOBAL_INDIA_LTD,2,2,1.7821,0,0.0,0,0.0,2,1.7821,0.4634,44.0,0.0,0.0,44.0,0.8864,0.0,0.0,0.8864,1.5,0.0,0.0,1.5,0.44,0.31,0.26,0.0,0.0,1.7821,1.7821,0.0,0.0,0.4634,0.4634,incidents_found,0.4634
SJVN LTD,SJVN_LTD,15,10,13.4106,6,1.689,3,1.1125,6,10.609,3.8464,267.47,117.0,760.33,171.5,0.5744,0.7349,0.132,0.6352,1.8333,1.0833,1.5,2.75,0.44,0.31,0.26,1.689,1.1125,10.609,13.4106,0.7432,0.3449,2.7583,3.8464,incidents_found,3.8464
SOBHA LTD,SOBHA_LTD,7,3,1.6707,3,0.0,1,0.0,3,1.6707,0.4344,446.14,41.33,739.0,753.33,0.5355,0.8929,0.132,0.3127,1.2143,1.0,1.0,1.5,0.44,0.31,0.26,0.0,0.0,1.6707,1.6707,0.0,0.0,0.4344,0.4344,incidents_found,0.4344
SOLAR INDUSTRIES INDIA LTD,SOLAR_INDUSTRIES_INDIA_LTD,14,10,12.9593,4,1.1897,7,9.5362,3,2.2334,4.0604,412.93,258.5,375.29,706.67,0.4411,0.5165,0.4472,0.3263,1.9643,1.5,2.3571,1.6667,0.44,0.31,0.26,1.1897,9.5362,2.2334,12.9593,0.5235,2.9562,0.5807,4.0604,incidents_found,4.0604
SONA BLW PRECISION FORGINGS,SONA_BLW_PRECISION_FORGINGS,1,0,0.0,0,0.0,0,0.0,1,0.0,0.0,236.0,0.0,0.0,236.0,0.5238,0.0,0.0,0.5238,1.0,0.0,0.0,1.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
SONATA SOFTWARE LTD,SONATA_SOFTWARE_LTD,1,0,0.0,0,0.0,0,0.0,1,0.0,0.0,303.0,0.0,0.0,303.0,0.436,0.0,0.0,0.436,1.0,0.0,0.0,1.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_negative_incidents_found,0.0
SRF LTD,SRF_LTD,10,5,5.0198,6,1.0829,2,0.0637,2,3.8732,1.5033,674.3,491.83,1689.0,207.0,0.2853,0.2822,0.0098,0.5702,1.7,1.4167,2.25,2.0,0.44,0.31,0.26,1.0829,0.0637,3.8732,5.0198,0.4765,0.0197,1.007,1.5033,incidents_found,1.5033
STAR HEALTH  ALLIED INSURAN,STAR_HEALTH__ALLIED_INSURAN,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_reported_incidents,0.0
STATE BANK OF INDIA,STATE_BANK_OF_INDIA,21,17,36.3989,7,3.0414,7,8.8348,7,24.5227,10.4529,185.38,181.71,219.43,155.0,0.6156,0.6299,0.5536,0.6634,2.0476,1.2143,1.9286,3.0,0.44,0.31,0.26,3.0414,8.8348,24.5227,36.3989,1.3382,2.7388,6.3759,10.4529,incidents_found,10.4529
STEEL AUTHORITY OF INDIA,STEEL_AUTHORITY_OF_INDIA,18,12,20.1913,7,4.7428,4,3.0677,7,12.3808,6.2568,291.39,115.71,562.75,312.0,0.5734,0.737,0.3238,0.5526,1.7778,1.3571,1.5,2.3571,0.44,0.31,0.26,4.7428,3.0677,12.3808,20.1913,2.0868,0.951,3.219,6.2568,incidents_found,6.2568
